Cell_Name,Chemistry,Temperature,C-rate,Cycle,Cycle_Time (h),Avg_Charge_Current (A),med_cur,med_cur_div6,SOH_Energy (%)
SAL241202K,A,45°C,1C-1D,838,46.86,1.13,0.9601,0.16002,14.9
SAL241202K,A,45°C,1C-1D,1187,22.95,0.932,0.9601,0.16002,86.1
SAL241202L,A,45°C,1C-1D,493,7.77,0.229,1.0059,0.16764,95.0
SAL260203E,B,25°C,1C-1D,580,9.07,0.9493,0.9592,0.15986,449.9
SAL260203F,B,25°C,1C-1D,581,9.07,0.952,0.9614,0.16024,458.4
SAL260203G,B,25°C,1C-1D,580,9.08,0.9495,0.9569,0.15948,450.8
SAL260203K,B,45°C,1C-1D,386,7.28,0.9863,0.9655,0.16091,95.5
SAL260203K,B,45°C,1C-1D,387,7.3,0.9871,0.9655,0.16091,95.7
SAL260203K,B,45°C,1C-1D,388,7.3,0.9868,0.9655,0.16091,95.7
SAL260203K,B,45°C,1C-1D,389,7.31,0.9863,0.9655,0.16091,95.8
SAL260203M,B,45°C,1C-1D,385,7.27,0.9898,0.9682,0.16137,95.5
SAL260203M,B,45°C,1C-1D,386,7.3,0.9916,0.9682,0.16137,95.7
SAL260203M,B,45°C,1C-1D,387,7.32,0.9909,0.9682,0.16137,95.7
SAL260203M,B,45°C,1C-1D,388,7.29,0.9875,0.9682,0.16137,95.7
SAL260203N,B,45°C,1C-1D,386,7.27,0.993,0.972,0.16199,95.5
SAL260203N,B,45°C,1C-1D,387,7.3,0.9948,0.972,0.16199,95.6
SAL260203N,B,45°C,1C-1D,388,7.3,0.9946,0.972,0.16199,95.7
SAL260203N,B,45°C,1C-1D,389,7.31,0.9936,0.972,0.16199,95.8
SAV250128B,B,25°C,1C-1D,100,18.72,0.1223,0.68,0.11333,104.6
SAV250128B,B,25°C,1C-1D,200,18.41,0.1221,0.68,0.11333,102.0
SAV250128B,B,25°C,1C-1D,229,48.46,0.6822,0.68,0.11333,93.8
SAV250128B,B,25°C,1C-1D,300,17.68,0.1215,0.68,0.11333,97.5
SAV250128C,B,45°C,1C-1D,244,48.15,0.9872,0.8398,0.13997,91.2
SAV250128C,B,45°C,1C-1D,566,22.85,0.7865,0.8398,0.13997,81.1
SAV250128E,B,25°C,1C-1D,229,47.67,0.8512,0.8538,0.14229,94.7
SAV250128F,B,45°C,1C-1D,244,47.45,1.0028,0.8472,0.14119,91.4
SAV250128F,B,45°C,1C-1D,566,22.87,0.7912,0.8472,0.14119,81.2
SAV250128H,B,25°C,1C-1D,100,18.89,0.1223,0.6892,0.11487,104.9
SAV250128H,B,25°C,1C-1D,200,18.62,0.1221,0.6892,0.11487,102.7
SAV250128H,B,25°C,1C-1D,228,47.65,1.23,0.6892,0.11487,55.4
SAV250128H,B,25°C,1C-1D,300,17.49,0.1213,0.6892,0.11487,96.0
SAV250128I,B,45°C,1C-1D,243,47.12,0.9933,0.8415,0.14025,91.6
SAV250128I,B,45°C,1C-1D,563,23.48,0.7899,0.8415,0.14025,81.4
SAV250212A,A,45°C,1C-1D,319,23.15,0.7625,0.7625,0.12708,84.7
SAV250212D,A,45°C,1C-1D,325,22.29,1.0046,1.0014,0.16689,90.9
SAV250212E,A,45°C,1C-1D,326,21.31,0.9845,0.9831,0.16386,90.2
SAV250327B,B,25°C,1C-1D,19,22.46,0.8582,0.8541,0.14234,97.8
SAV250327D,B,25°C,1C-1D,19,22.44,0.8468,0.8491,0.14152,98.0
SAV250327F,B,25°C,1C-1D,19,22.9,0.7978,0.7791,0.12985,95.4
SAV250508C,B,25°C,1C-1D,478,7.39,0.8803,0.8465,0.14108,90.2
SAV250508E,B,25°C,1C-1D,478,7.38,0.8005,0.8417,0.14028,174.3
SAV250526B,B,25°C,1C-1D,100,16.62,0.1233,0.7386,0.1231,107.3
SAV250526B,B,25°C,1C-1D,200,16.11,0.1232,0.7386,0.1231,103.4
SAV250526B,B,25°C,1C-1D,300,15.76,0.1232,0.7386,0.1231,100.7
SAV250526H,A,25°C,1C-1D,100,12.95,0.1318,0.7376,0.12293,89.9
SAV250526H,A,25°C,1C-1D,128,11.69,0.1315,0.7376,0.12293,84.3
SAV250716A,A,25°C,C/2-D/2,100,18.8,0.1331,0.5673,0.09456,96.8
SAV250716A,A,25°C,C/2-D/2,200,16.63,0.1325,0.5673,0.09456,86.7
SAV250716C,A,25°C,C/2-D/2,100,18.75,0.1341,0.5619,0.09365,98.1
SAV250716C,A,25°C,C/2-D/2,201,16.86,0.1335,0.5619,0.09365,89.1
SAV250716E,A,25°C,C/2-D/2,100,19.31,0.1319,0.56,0.09333,98.6
SAV250716E,A,25°C,C/2-D/2,200,18.02,0.1315,0.56,0.09333,92.5
SAV250716E,A,25°C,C/2-D/2,300,16.03,0.1312,0.56,0.09333,82.9
SAV250716E,A,25°C,C/2-D/2,313,15.49,0.131,0.56,0.09333,80.7
SAV250716G,A,25°C,C/2-D/2,100,18.84,0.1338,0.5694,0.0949,98.8
SAV250716G,A,25°C,C/2-D/2,205,17.21,0.1334,0.5694,0.0949,90.9
SAV250716H,A,25°C,C/3-C/3,100,18.83,0.1339,0.4083,0.06804,96.3
SAV250716H,A,25°C,C/3-C/3,200,17.59,0.1335,0.4083,0.06804,90.2
SAV250718C,B,25°C,1C-1D,244,20.54,0.8623,0.8338,0.13896,93.8
SAV250718E,B,25°C,1C-1D,244,20.44,0.8987,0.845,0.14083,94.4
SAV250718G,B,25°C,1C-1D,239,12.53,0.8688,0.8883,0.14805,96.7
SAV250718G,B,25°C,1C-1D,240,8.36,0.8719,0.8883,0.14805,96.7
SAV250728A,B,25°C,1C-1D,172,20.42,0.8862,0.8749,0.14581,94.7
SAV250827D,C,25°C,2C-2D,99,32.57,0.7755,0.7587,0.12644,98.6
SAV250827D,C,25°C,2C-2D,198,32.3,0.7418,0.7587,0.12644,97.3
SAV250827E,C,25°C,2C-2D,99,32.48,0.7429,0.7257,0.12094,98.4
SAV250827E,C,25°C,2C-2D,198,32.13,0.7052,0.7257,0.12094,96.6
SAV250827F,C,25°C,2C-2D,99,32.54,0.8037,0.5914,0.09857,98.6
SAV250827F,C,25°C,2C-2D,198,32.27,0.7615,0.5914,0.09857,97.1
SAV250827H,C,45°C,2C-2D,99,32.91,0.9706,0.9241,0.15401,98.5
SAV250827H,C,45°C,2C-2D,198,32.75,0.8839,0.9241,0.15401,97.2
SAV250827I,C,45°C,2C-2D,99,32.92,0.9755,0.932,0.15533,98.7
SAV250827I,C,45°C,2C-2D,198,32.68,0.8951,0.932,0.15533,97.5
SAV250827J,C,45°C,2C-2D,99,32.88,0.9678,0.6682,0.11136,98.4
SAV250827J,C,45°C,2C-2D,198,32.59,0.8833,0.6682,0.11136,96.8
SAV250827K,C,60°C,2C-2D,99,29.93,0.6311,0.5997,0.09995,74.7
SAV250827K,C,60°C,2C-2D,198,29.81,0.5041,0.5997,0.09995,72.3
SAV250827K,C,60°C,2C-2D,210,165.2,0.4559,0.5997,0.09995,0.0
SAV250827L,C,60°C,2C-2D,99,33.11,0.9839,0.9627,0.16045,97.4
SAV250827L,C,60°C,2C-2D,198,32.68,0.8485,0.9627,0.16045,94.1
SAV250827L,C,60°C,2C-2D,201,207.88,0.506,0.9627,0.16045,0.0
SAV250827M,C,60°C,2C-2D,99,31.41,0.7938,0.8146,0.13576,85.2
SAV250827M,C,60°C,2C-2D,198,30.71,0.6432,0.8146,0.13576,80.3
SAV250827M,C,60°C,2C-2D,213,165.66,1.3627,0.8146,0.13576,0.0
SAV250827N,C,25°C,1C-1D,99,42.31,0.5103,0.5062,0.08437,98.5
SAV250827N,C,25°C,1C-1D,198,33.82,0.5019,0.5062,0.08437,98.1
SAV250827O,C,25°C,1C-1D,99,42.23,0.5092,0.506,0.08433,98.5
SAV250827O,C,25°C,1C-1D,198,33.8,0.5031,0.506,0.08433,98.2
SAV250827P,C,25°C,1C-1D,99,42.29,0.5048,0.428,0.07133,98.4
SAV250827P,C,25°C,1C-1D,198,33.78,0.4978,0.428,0.07133,98.0
SAV250827Q,C,45°C,1C-1D,99,42.37,0.586,0.575,0.09584,99.5
SAV250827Q,C,45°C,1C-1D,198,33.78,0.5663,0.575,0.09584,98.5
SAV250827S,C,45°C,1C-1D,99,42.36,0.5883,0.5774,0.09623,99.5
SAV250827S,C,45°C,1C-1D,198,33.92,0.5686,0.5774,0.09623,98.4
SAV250827T,C,45°C,1C-1D,99,42.32,0.5864,0.4829,0.08048,99.3
SAV250827T,C,45°C,1C-1D,198,33.9,0.5666,0.4829,0.08048,98.2
SAV250827U,C,60°C,1C-1D,99,42.2,0.6007,0.5773,0.09622,97.7
SAV250827U,C,60°C,1C-1D,198,33.47,0.5416,0.5773,0.09622,92.7
SAV250827V,C,60°C,1C-1D,99,41.58,0.5845,0.3964,0.06607,95.2
SAV250827V,C,60°C,1C-1D,198,32.93,0.5137,0.3964,0.06607,89.2
SAV250827W,C,60°C,1C-1D,99,35.98,0.3645,0.352,0.05867,74.4
SAV250827W,C,60°C,1C-1D,198,29.56,0.3176,0.352,0.05867,64.3
SAV250827W,C,60°C,1C-1D,266,59.77,0.3006,0.352,0.05867,56.5
SAV250827W,C,60°C,1C-1D,274,17.93,0.5847,0.352,0.05867,0.0
SAV250903A,C,25°C,C/2-D/2,99,36.26,0.2905,0.2899,0.04831,99.8
SAV250903A,C,25°C,C/2-D/2,198,36.17,0.289,0.2899,0.04831,99.5
SAV250903C,C,25°C,C/2-D/2,99,36.35,0.291,0.288,0.04801,100.3
SAV250903C,C,25°C,C/2-D/2,198,36.26,0.2895,0.288,0.04801,100.1
SAV250903C,C,25°C,C/2-D/2,397,31.55,0.0641,0.288,0.04801,105.8
SAV250903C,C,25°C,C/2-D/2,497,31.34,0.064,0.288,0.04801,104.2
SAV250903C,C,25°C,C/2-D/2,597,31.14,0.064,0.288,0.04801,102.9
SAV250903C,C,25°C,C/2-D/2,697,30.95,0.064,0.288,0.04801,101.6
SAV250903C,C,25°C,C/2-D/2,797,30.76,0.064,0.288,0.04801,100.5
SAV250903D,C,25°C,C/2-D/2,99,36.2,0.2947,0.294,0.04901,99.1
SAV250903D,C,25°C,C/2-D/2,198,36.1,0.2933,0.294,0.04901,98.8
